date,symbol,sector,marketCap,changePct,x,y,width,height
2025-05-01,AAPL,Information Technology,3181932262712.5312,0.0,0.0,0.0,247.24654524620038,355.20408277107765
2025-05-01,MSFT,Information Technology,3156008568794.375,0.0,247.24654524620038,0.0,245.2321894296438,355.20408277107765
2025-05-01,NVDA,Information Technology,2721900093743.25,0.0,0.0,355.20408277107765,205.93940910314188,364.79591722892235
2025-05-01,AVGO,Information Technology,927835792637.6876,0.0,205.93940910314188,355.20408277107765,199.0244213375919,128.6713931000527
2025-05-01,ORCL,Information Technology,407987421809.2149,0.0,404.9638304407338,355.20408277107765,87.51490423511045,128.6713931000527
2025-05-01,PLTR,Information Technology,262950129516.54688,0.0,205.93940910314188,483.87547587113033,87.73561326345538,82.72079960354895
2025-05-01,CRM,Information Technology,257479467163.08597,0.0,205.93940910314188,566.5962754746793,87.73561326345538,80.99979811527685
2025-05-01,CSCO,Information Technology,230155195770.26367,0.0,205.93940910314188,647.5960735899561,87.73561326345538,72.40392641004385
2025-05-01,IBM,Information Technology,221266866744.79297,0.0,293.67502236659726,483.87547587113033,72.36791941573118,84.38933218163476
2025-05-01,NOW,Information Technology,198441260928.7109,0.0,366.04294178232846,483.87547587113033,64.90253778577981,84.38933218163476
2025-05-01,ACN,Information Technology,188139588207.3281,0.0,430.9454795681083,483.87547587113033,61.53325510773596,84.38933218163476
2025-05-01,INTU,Information Technology,173836986596.54297,0.0,293.67502236659726,568.2648080527651,60.66418443039565,79.09100107467722
2025-05-01,ADBE,Information Technology,159667308081.0547,0.0,293.67502236659726,647.3558091274424,60.66418443039565,72.64419087255766
2025-05-01,AMD,Information Technology,156708318659.66016,0.0,354.3392067969929,568.2648080527651,71.14315918584519,60.79616084278306
2025-05-01,QCOM,Information Technology,147574108520.5078,0.0,425.48236598283813,568.2648080527651,66.9963686930061,60.79616084278306
2025-05-01,TXN,Information Technology,143774773729.61426,0.0,354.3392067969929,629.0609688955482,81.33335418854513,48.79004971470852
2025-05-01,PANW,Information Technology,124204838848.87695,0.0,354.3392067969929,677.8510186102567,81.33335418854513,42.14898138974331
2025-05-01,WDAY,Information Technology,53205859048.802734,0.0,435.67256098553804,629.0609688955482,29.651885527860465,49.52498989355132
2025-05-01,FICO,Information Technology,48724295363.41553,0.0,465.3244465133985,629.0609688955482,27.154288162445717,49.52498989355132
2025-05-01,MCHP,Information Technology,24611105044.25561,0.0,435.67256098553804,678.5859587890995,29.42054689002372,23.08860125528447
2025-05-01,SMCI,Information Technology,19533852343.11841,0.0,435.67256098553804,701.6745600443841,29.42054689002372,18.32543995561604
2025-05-01,FSLR,Information Technology,13573873047.271729,0.0,465.09310787556177,678.5859587890995,14.150787383261674,26.475271849709284
2025-05-01,ZBRA,Information Technology,12695267420.961,0.0,479.24389525882344,678.5859587890995,13.234839417020787,26.475271849709284
2025-05-01,EPAM,Information Technology,8977187222.358704,0.0,465.09310787556177,705.0612306388089,16.586040106296004,14.938769361191223
2025-05-01,ENPH,Information Technology,5845271749.897003,0.0,481.6791479818578,705.0612306388089,10.799586693986459,14.938769361188205
2025-05-01,META,Communication Services,1242353834982.7344,0.0,492.47873467584424,0.0,184.53912334797906,185.81214747470332
2025-05-01,GOOGL,Communication Services,938766059054.0312,0.0,677.0178580238232,0.0,139.44422328689927,185.81214747470332
2025-05-01,GOOG,Communication Services,888670542093.3203,0.0,492.47873467584424,185.81214747470332,124.0332934256809,197.7514877634289
2025-05-01,NFLX,Communication Services,482371957969.8594,0.0,616.5120281015252,185.81214747470332,106.32529944923459,125.21682542173701
2025-05-01,TMUS,Communication Services,279424805545.1074,0.0,616.5120281015252,311.02897289644034,106.32529944923459,72.53466234169187
2025-05-01,T,Communication Services,199028444782.6172,0.0,722.8373275507597,185.81214747470332,93.62475375996286,58.673461656498844
2025-05-01,VZ,Communication Services,182563626632.85645,0.0,722.8373275507597,244.48560913120218,93.62475375996286,53.81964351283425
2025-05-01,DIS,Communication Services,163253674563.92188,0.0,722.8373275507597,298.30525264403644,52.84977303755354,85.2583825940958
2025-05-01,CMCSA,Communication Services,125954475310.16602,0.0,775.6871005883132,298.30525264403644,40.77498072240932,85.25838259409602
2025-05-01,AMZN,Consumer Discretionary,2019239223255.7188,0.0,492.47873467584424,383.56363523813224,323.98334663487833,172.02134433971307
2025-05-01,TSLA,Consumer Discretionary,903543663813.4766,0.0,492.47873467584424,555.5849795778453,151.6788072270928,164.41502042215475
2025-05-01,HD,Consumer Discretionary,354280993048.33984,0.0,644.157541902937,555.5849795778453,96.90845695508725,100.90284828773699
2025-05-01,MCD,Consumer Discretionary,222998218546.5547,0.0,644.157541902937,656.4878278655823,96.90845695508725,63.51217213441776
2025-05-01,BKNG,Consumer Discretionary,166002068348.9746,0.0,741.0659988580243,555.5849795778453,75.3960824526983,60.7689831602698
2025-05-01,TJX,Consumer Discretionary,141925513743.70117,0.0,741.0659988580243,616.3539627381151,75.3960824526983,51.95519092311894
2025-05-01,LOW,Consumer Discretionary,124596583821.89062,0.0,741.0659988580243,668.3091536612341,66.52880810166585,51.690846338766015
2025-05-01,DECK,Consumer Discretionary,16606822269.561768,0.0,807.5948069596901,668.3091536612341,8.86727435103245,51.690846338767436
2025-05-01,JPM,Financials,686129508652.5781,0.0,816.4620813107226,0.0,126.13510473407133,150.13687646055797
2025-05-01,V,Financials,584957064858.8789,0.0,942.597186044794,0.0,107.53599679134338,150.13687646055797
2025-05-01,MA,Financials,492657384971.5781,0.0,816.4620813107226,150.13687646055797,144.76598788980408,93.92813727927542
