date,sector,sectorMarketCap,x,y,width,height
2025-05-01,Information Technology,12847029693704.125,0.0,0.0,492.47873467584424,720.0
2025-05-01,Communication Services,4502387420934.614,492.47873467584424,0.0,323.98334663487833,383.56363523813224
2025-05-01,Consumer Discretionary,3949193086848.218,492.47873467584424,383.56363523813224,323.98334663487833,336.4363647618678
2025-05-01,Financials,3616385873844.4136,816.4620813107226,0.0,233.6711015254147,427.1564899589365
2025-05-01,Health Care,3557509272778.2466,1050.1331828361374,0.0,229.8668171638628,427.1564899589365
2025-05-01,Consumer Staples,2349686486156.9727,816.4620813107226,427.1564899589365,221.458098311716,292.8435100410635
2025-05-01,Industrials,1516143817987.2156,1037.9201796224386,427.1564899589365,242.0798203775615,172.86181228844998
2025-05-01,Energy,684906641075.6367,1037.9201796224386,600.0183022473865,157.55552064125303,119.98169775261351
2025-05-01,Materials,210237365076.416,1195.4757002636916,600.0183022473865,84.52429973630848,68.65079553520538
2025-05-01,Utilities,157196628896.2942,1195.4757002636916,668.6690977825918,84.52429973630852,51.330902217408145
2025-05-02,Information Technology,12981675291492.814,0.0,0.0,490.6203222657887,720.0
2025-05-02,Communication Services,4607594775334.0205,490.6203222657887,0.0,324.62966443460584,386.21875732576666
2025-05-02,Consumer Discretionary,3982014546624.123,490.6203222657887,386.21875732576666,324.62966443460584,333.7812426742334
2025-05-02,Financials,3696230362416.032,815.2499867003945,0.0,234.8613136960135,428.24749596718567
2025-05-02,Health Care,3617971721604.8184,1050.111300396408,0.0,229.88869960359202,428.24749596718567
2025-05-02,Consumer Staples,2369415483928.7656,815.2499867003945,428.24749596718567,220.9906594559108,291.75250403281433
2025-05-02,Industrials,1549676007993.6914,1036.2406461563053,428.24749596718567,243.7593538436947,172.99235353016488
2025-05-02,Energy,690576413693.3105,1036.2406461563053,601.2398494973505,158.2298038429504,118.76015050264947
2025-05-02,Materials,213475043477.417,1194.4704499992556,601.2398494973505,85.52955000074431,67.91695578346216
2025-05-02,Utilities,159809182817.52466,1194.4704499992556,669.1568052808127,85.52955000074239,50.843194719187295
2025-05-05,Information Technology,12858996671645.69,0.0,0.0,489.102549525208,720.0
2025-05-05,Communication Services,4602352326687.459,489.102549525208,0.0,324.13236676975487,388.8506248873624
2025-05-05,Consumer Discretionary,3919412750004.5005,489.102549525208,388.8506248873624,324.13236676975487,331.1493751126376
2025-05-05,Financials,3695835038739.743,813.2349162949629,0.0,236.21753288038863,428.4752969057348
2025-05-05,Health Care,3607123087111.491,1049.4524491753516,0.0,230.54755082464845,428.4752969057348
2025-05-05,Consumer Staples,2374433886077.625,813.2349162949629,428.4752969057348,223.05402220075206,291.5247030942652
2025-05-05,Industrials,1551414633282.8699,1036.288938495715,428.4752969057348,243.71106150428503,174.33234874929218
2025-05-05,Energy,672887547205.8223,1036.288938495715,602.807645655027,157.24199712628118,117.19235434497301
2025-05-05,Materials,212320743990.9668,1193.5309356219962,602.807645655027,86.46906437800388,67.244536850013
2025-05-05,Utilities,157707350931.8473,1193.5309356219962,670.05218250504,86.46906437800062,49.947817494960006
2025-05-06,Information Technology,12774389090031.635,0.0,0.0,490.1215045284208,720.0
2025-05-06,Communication Services,4581317478458.511,490.1215045284208,0.0,324.8288177217654,389.6116654902496
2025-05-06,Consumer Discretionary,3884929496820.202,490.1215045284208,389.6116654902496,324.8288177217654,330.38833450975034
2025-05-06,Financials,3668612896638.5356,814.9503222501862,0.0,238.1276040532332,425.58690891305014
2025-05-06,Health Care,3495979600538.599,1053.0779263034194,0.0,226.9220736965806,425.58690891305014
2025-05-06,Consumer Staples,2367003605710.0977,814.9503222501862,425.58690891305014,222.09455787879494,294.41309108694986
2025-05-06,Industrials,1541593496454.3696,1037.0448801289813,425.58690891305014,242.95511987101884,175.28305276006176
2025-05-06,Energy,679207932925.543,1037.0448801289813,600.8699616731119,157.49892090039432,119.1300383268881
2025-05-06,Materials,209768135073.48636,1194.5438010293756,600.8699616731119,85.45619897062451,67.80973696653476
2025-05-06,Utilities,158758378801.60852,1194.5438010293756,668.6796986396466,85.456198970624,51.32030136035334
2025-05-07,Information Technology,12890348747322.047,0.0,0.0,492.75121806651055,720.0
2025-05-07,Communication Services,4485885566264.823,492.75121806651055,0.0,321.8409064900675,383.6210975218574
2025-05-07,Consumer Discretionary,3933457448431.2026,492.75121806651055,383.6210975218574,321.8409064900675,336.37890247814266
2025-05-07,Financials,3688766435557.296,814.592124556578,0.0,238.17870728299283,426.2591939678228
2025-05-07,Health Care,3519186657159.454,1052.7708318395707,0.0,227.22916816042914,426.2591939678228
2025-05-07,Consumer Staples,2374383714865.285,814.592124556578,426.2591939678228,222.47548299824595,293.7408060321772
2025-05-07,Industrials,1541855050657.1208,1037.067607554824,426.2591939678228,242.93239244517602,174.68421241997706
2025-05-07,Energy,679106057816.291,1037.067607554824,600.9434063877999,156.99278275928197,119.05659361220015
2025-05-07,Materials,210992824806.51852,1194.060390314106,600.9434063877999,85.93960968589406,67.57247796203602
2025-05-07,Utilities,160757446246.0349,1194.060390314106,668.5158843498359,85.9396096858922,51.48411565016413
2025-05-08,Information Technology,13003671988299.047,0.0,0.0,494.0077989323108,720.0
2025-05-08,Communication Services,4511632382497.614,494.0077989323108,0.0,323.1790209077794,381.8482809990139
2025-05-08,Consumer Discretionary,3995346637807.759,494.0077989323108,381.8482809990139,323.1790209077794,338.1517190009861
2025-05-08,Financials,3728340461539.966,817.1868198400902,0.0,239.4634243783537,425.8696304985689
2025-05-08,Health Care,3477457710784.827,1056.6502442184437,0.0,223.3497557815561,425.8696304985689
