date,symbol,marketCap,changePct
2025-05-01,AAPL,3181932262712.5312,0.0
2025-05-01,ABBV,341515769531.25,0.0
2025-05-01,ABT,227710267695.3125,0.0
2025-05-01,ACN,188139588207.32812,0.0
2025-05-01,ADBE,159667308081.0547,0.0
2025-05-01,ADP,121245144250.54297,0.0
2025-05-01,AMD,156708318659.66016,0.0
2025-05-01,AMGN,151253519704.92188,0.0
2025-05-01,AMZN,2019239223255.7188,0.0
2025-05-01,AVGO,927835792637.6875,0.0
2025-05-01,AXON,48353129979.3457,0.0
2025-05-01,AXP,188136173898.1582,0.0
2025-05-01,BA,137900159806.03125,0.0
2025-05-01,BAC,302555603237.83594,0.0
2025-05-01,BKNG,166002068348.9746,0.0
2025-05-01,BLK,141186189493.65234,0.0
2025-05-01,BSX,152664447460.89844,0.0
2025-05-01,C,126257493920.81348,0.0
2025-05-01,CAT,147660095892.875,0.0
2025-05-01,CMCSA,125954475310.16602,0.0
2025-05-01,COIN,42556231355.56299,0.0
2025-05-01,COO,16188484049.106934,0.0
2025-05-01,COST,442474729667.25,0.0
2025-05-01,CRL,5741134143.022156,0.0
2025-05-01,CRM,257479467163.08594,0.0
2025-05-01,CSCO,230155195770.26367,0.0
2025-05-01,CVX,233193272066.94922,0.0
2025-05-01,DE,130002377404.76562,0.0
2025-05-01,DECK,16606822269.561768,0.0
2025-05-01,DHR,140779453652.27344,0.0
2025-05-01,DIS,163253674563.92188,0.0
2025-05-01,DXCM,27549439219.710938,0.0
2025-05-01,ENPH,5845271749.897003,0.0
2025-05-01,EPAM,8977187222.358704,0.0
2025-05-01,FICO,48724295363.41553,0.0
2025-05-01,FSLR,13573873047.271729,0.0
2025-05-01,GE,217127671808.6328,0.0
2025-05-01,GEV,104340326540.52832,0.0
2025-05-01,GILD,128435770848.0,0.0
2025-05-01,GOOG,888670542093.3203,0.0
2025-05-01,GOOGL,938766059054.0312,0.0
2025-05-01,GS,169094894247.70703,0.0
2025-05-01,HD,354280993048.33984,0.0
2025-05-01,HOLX,12764560869.732422,0.0
2025-05-01,HON,134870874557.08887,0.0
2025-05-01,IBM,221266866744.79297,0.0
2025-05-01,INTU,173836986596.54297,0.0
2025-05-01,ISRG,185366610339.98828,0.0
2025-05-01,JNJ,368482632659.09375,0.0
2025-05-01,JPM,686129508652.5781,0.0
2025-05-01,KO,306851399693.6367,0.0
2025-05-01,LIN,210237365076.41602,0.0
2025-05-01,LLY,711433862617.1875,0.0
2025-05-01,LOW,124596583821.89062,0.0
2025-05-01,MA,492657384971.5781,0.0
2025-05-01,MCD,222998218546.5547,0.0
2025-05-01,MCHP,24611105044.255615,0.0
2025-05-01,META,1242353834982.7344,0.0
2025-05-01,MRK,209068364496.29883,0.0
2025-05-01,MS,187320406627.19727,0.0
2025-05-01,MSFT,3156008568794.375,0.0
2025-05-01,NEE,134881117615.62402,0.0
2025-05-01,NFLX,482371957969.8594,0.0
2025-05-01,NOW,198441260928.71094,0.0
2025-05-01,NRG,22315511280.670166,0.0
2025-05-01,NVDA,2721900093743.25,0.0
2025-05-01,ORCL,407987421809.21484,0.0
2025-05-01,PANW,124204838848.87695,0.0
2025-05-01,PEP,183107729637.0039,0.0
2025-05-01,PFE,133504019613.6211,0.0
2025-05-01,PG,375079483824.96484,0.0
2025-05-01,PGR,162770957986.8164,0.0
2025-05-01,PLTR,262950129516.54688,0.0
2025-05-01,PM,264686219866.92188,0.0
2025-05-01,PODD,17611317724.0,0.0
2025-05-01,QCOM,147574108520.5078,0.0
2025-05-01,REGN,62534932885.74219,0.0
2025-05-01,RTX,169350064051.5996,0.0
2025-05-01,SCHW,147627272475.7246,0.0
2025-05-01,SMCI,19533852343.11841,0.0
2025-05-01,SPGI,152729064547.04297,0.0
2025-05-01,SWK,9001857615.340454,0.0
2025-05-01,SYK,142925881626.0,0.0
2025-05-01,T,199028444782.6172,0.0
2025-05-01,TJX,141925513743.70117,0.0
2025-05-01,TMO,158505967907.9375,0.0
2025-05-01,TMUS,279424805545.1074,0.0
2025-05-01,TSLA,903543663813.4766,0.0
2025-05-01,TXN,143774773729.61426,0.0
2025-05-01,UBER,169154743906.3711,0.0
2025-05-01,UNH,363472835734.14844,0.0
2025-05-01,UNP,127137372174.09375,0.0
2025-05-01,V,584957064858.8789,0.0
2025-05-01,VZ,182563626632.85645,0.0
2025-05-01,WDAY,53205859048.802734,0.0
2025-05-01,WFC,232407627570.8672,0.0
2025-05-01,WMT,777486923467.1953,0.0
2025-05-01,XOM,451713369008.6875,0.0
2025-05-01,ZBRA,12695267420.960999,0.0
2025-05-02,AAPL,3063049805128.2188,-3.736171853104367
2025-05-02,ABBV,350577410156.25,2.653359356564302
2025-05-02,ABT,231085561542.96875,1.482275648708366
2025-05-02,ACN,191144505288.60938,1.5971742629572776
2025-05-02,ADBE,162326791918.9453,1.6656408064076242
2025-05-02,ADP,123226050511.6289,1.633802552119168
2025-05-02,AMD,160194331271.3203,2.224523012866403
2025-05-02,AMGN,149889054669.65625,-0.9021046504752673
2025-05-02,AMZN,2016903602324.4062,-0.1156683618470259
2025-05-02,AVGO,957505085355.4375,3.1976878832627254
2025-05-02,AXON,48902756437.28027,1.1366926156990171
2025-05-02,AXP,193958066711.25586,3.094510052197171
2025-05-02,BA,139837960789.65625,1.4052202596071595
2025-05-02,BAC,309334306672.97266,2.2404818693138027
2025-05-02,BKNG,169300666484.47266,1.9870825516243769
2025-05-02,BLK,143198856383.42285,1.425540909481799
2025-05-02,BSX,155238687272.6123,1.6862077939745603
